,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
739,2022-01-27,311.12,311.8,276.33,276.37,276.37,147109500,147109500,-34.75,-11.17,288.17,"January 27, 22",-0.1117
740,2022-01-26,317.48,329.23,302.0,312.47,312.47,104867400,104867400,-5.01,-1.58,314.57,"January 26, 22",-0.0158
741,2022-01-25,304.73,317.09,301.07,306.13,306.13,86595900,86595900,1.4,0.45942,308.1,"January 25, 22",0.0045942
742,2022-01-24,301.59,311.17,283.82,310.0,310.0,151565700,151565700,8.41,2.79,301.66,"January 24, 22",0.0279
743,2022-01-21,332.11,334.85,313.5,314.63,314.63,103416000,103416000,-17.48,-5.26,320.99,"January 21, 22",-0.0526
744,2022-01-20,336.58,347.22,331.33,332.09,332.09,70488600,70488600,-4.49,-1.33,336.88,"January 20, 22",-0.0133
745,2022-01-19,347.24,351.56,331.67,331.88,331.88,75442500,75442500,-15.36,-4.42,338.37,"January 19, 22",-0.0442
746,2022-01-18,342.2,356.93,338.69,343.5,343.5,66743400,66743400,1.3,0.37989,346.37,"January 18, 22",0.0037989
747,2022-01-14,339.96,350.67,337.79,349.87,349.87,72924300,72924300,9.91,2.92,346.11,"January 14, 22",0.0292
748,2022-01-13,369.69,371.87,342.18,343.85,343.85,97209900,97209900,-25.84,-6.99,352.63,"January 13, 22",-0.0699
749,2022-01-12,359.62,371.61,357.53,368.74,368.74,83739000,83739000,9.12,2.54,365.96,"January 12, 22",0.0254
750,2022-01-11,351.22,358.62,346.27,354.8,354.8,66063300,66063300,3.58,1.02,353.23,"January 11, 22",0.0102
751,2022-01-10,333.33,353.03,326.67,352.71,352.71,91815000,91815000,19.38,5.81,344.14,"January 10, 22",0.0581
752,2022-01-07,360.12,360.31,336.67,342.32,342.32,84164700,84164700,-17.8,-4.94,346.43,"January 07, 22",-0.0494
753,2022-01-06,359.0,362.67,340.17,354.9,354.9,90336600,90336600,-4.1,-1.14,352.58,"January 06, 22",-0.0114
754,2022-01-05,382.22,390.11,360.34,362.71,362.71,80119800,80119800,-19.51,-5.1,371.05,"January 05, 22",-0.051
755,2022-01-04,396.52,402.67,374.35,383.2,383.2,100248300,100248300,-13.32,-3.36,386.74,"January 04, 22",-0.0336
756,2022-01-03,382.58,400.36,378.68,399.93,399.93,103931400,103931400,17.35,4.53,392.99,"January 03, 22",0.0453
757,2021-12-31,357.81,360.67,351.53,352.26,352.26,40733700,40733700,-5.55,-1.55,354.82,"December 31, 21",-0.0155
758,2021-12-30,353.78,365.18,351.05,356.78,356.78,47040900,47040900,3.0,0.84798,357.67,"December 30, 21",0.0084798
759,2021-12-29,366.21,368.0,354.71,362.06,362.06,56154000,56154000,-4.15,-1.13,361.59,"December 29, 21",-0.0113
760,2021-12-28,369.83,373.0,359.47,362.82,362.82,60324000,60324000,-7.01,-1.9,365.1,"December 28, 21",-0.019
761,2021-12-27,357.89,372.33,356.91,364.65,364.65,71145900,71145900,6.76,1.89,364.63,"December 27, 21",0.0189
762,2021-12-23,335.6,357.66,332.52,355.67,355.67,92713200,92713200,20.07,5.98,348.62,"December 23, 21",0.0598
763,2021-12-22,321.89,338.55,319.02,336.29,336.29,93634200,93634200,14.4,4.47,331.29,"December 22, 21",0.0447
764,2021-12-21,305.62,313.17,295.37,312.84,312.84,71517900,71517900,7.22,2.36,307.13,"December 21, 21",0.0236
765,2021-12-20,303.57,307.23,297.8,299.98,299.98,56480100,56480100,-3.59,-1.18,301.67,"December 20, 21",-0.0118
766,2021-12-17,304.92,320.22,303.01,310.86,310.86,100437300,100437300,5.94,1.95,311.36,"December 17, 21",0.0195
767,2021-12-16,331.5,331.66,307.28,308.97,308.97,82771500,82771500,-22.53,-6.8,315.97,"December 16, 21",-0.068
768,2021-12-15,317.74,326.25,309.42,325.33,325.33,75169200,75169200,7.59,2.39,320.33,"December 15, 21",0.0239
769,2021-12-14,315.0,322.14,310.0,319.5,319.5,70806300,70806300,4.5,1.43,317.21,"December 14, 21",0.0143
770,2021-12-13,333.7,335.0,317.14,322.14,322.14,78595500,78595500,-11.56,-3.46,324.76,"December 13, 21",-0.0346
771,2021-12-10,336.25,340.33,327.51,339.01,339.01,59664300,59664300,2.76,0.82082,335.62,"December 10, 21",0.0082082
772,2021-12-09,353.55,354.16,334.12,334.6,334.6,59438400,59438400,-18.95,-5.36,340.96,"December 09, 21",-0.0536
773,2021-12-08,350.9,357.46,344.33,356.32,356.32,41906400,41906400,5.42,1.54,352.7,"December 08, 21",0.0154
774,2021-12-07,348.07,352.56,342.27,350.58,350.58,56084700,56084700,2.51,0.72112,348.47,"December 07, 21",0.0072112
775,2021-12-06,333.84,340.55,316.83,336.34,336.34,81663000,81663000,2.5,0.74886,331.24,"December 06, 21",0.0074886
776,2021-12-03,361.6,363.53,333.4,338.32,338.32,92322000,92322000,-23.28,-6.44,345.08,"December 03, 21",-0.0644
