,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
293,2023-11-06,143.17,144.19,142.79,144.08,140.72,7625100,7625100,0.91,0.63561,143.5575,"November 06, 23",0.0063561
294,2023-11-03,142.19,143.77,141.85,143.0,139.66,9538719,9538719,0.81,0.56966,142.7025,"November 03, 23",0.0056966
295,2023-11-02,140.09,141.48,139.23,141.42,138.12,10186200,10186200,1.33,0.94939,140.555,"November 02, 23",0.0094939
296,2023-11-01,139.25,140.53,138.47,138.94,135.7,9432048,9432048,-0.31,-0.22262,139.2975,"November 01, 23",-0.0022262
297,2023-10-31,137.71,139.24,137.47,139.06,135.82,9672500,9672500,1.35,0.98032,138.37,"October 31, 23",0.0098032
298,2023-10-30,136.44,138.04,136.04,137.42,134.22,9855540,9855540,0.98,0.71826,136.985,"October 30, 23",0.0071826
299,2023-10-27,138.95,139.1,135.19,135.69,132.53,17434717,17434717,-3.26,-2.35,137.2325,"October 27, 23",-0.0235
300,2023-10-26,139.76,141.67,139.43,140.76,137.48,9109431,9109431,1.0,0.71551,140.405,"October 26, 23",0.0071551
301,2023-10-25,140.57,141.18,139.51,140.4,137.13,8242600,8242600,-0.17,-0.12094,140.415,"October 25, 23",-0.0012094
302,2023-10-24,141.19,141.73,140.36,141.17,137.88,8881400,8881400,-0.02,-0.01416531,141.1125,"October 24, 23",-0.0001416531
303,2023-10-23,142.94,143.68,140.73,141.0,137.71,10133410,10133410,-1.94,-1.36,142.0875,"October 23, 23",-0.0136
304,2023-10-20,144.57,145.14,142.12,142.95,139.62,13332867,13332867,-1.62,-1.12,143.695,"October 20, 23",-0.0112
305,2023-10-19,145.48,147.02,144.88,145.29,141.9,11143631,11143631,-0.19,-0.1306,145.6675,"October 19, 23",-0.001306
306,2023-10-18,146.59,147.48,145.37,145.91,142.51,9620300,9620300,-0.68,-0.46388,146.3375,"October 18, 23",-0.0046388
307,2023-10-17,147.57,149.31,146.79,147.53,144.09,11482739,11482739,-0.04,-0.02710578,147.8,"October 17, 23",-0.0002710578
308,2023-10-16,149.45,149.52,146.72,147.85,144.4,12663500,12663500,-1.6,-1.07,148.385,"October 16, 23",-0.0107
309,2023-10-13,148.5,153.11,147.84,148.0,144.55,29487199,29487199,-0.5,-0.3367,149.3625,"October 13, 23",-0.003367
310,2023-10-12,146.3,146.96,145.13,145.81,142.41,10484436,10484436,-0.49,-0.33493,146.05,"October 12, 23",-0.0033493
311,2023-10-11,146.51,147.23,145.02,146.15,142.74,8698200,8698200,-0.36,-0.24572,146.2275,"October 11, 23",-0.0024572
312,2023-10-10,145.42,146.77,145.28,145.65,142.25,11288800,11288800,0.23,0.15816,145.78,"October 10, 23",0.0015816
313,2023-10-09,143.66,145.4,143.5,144.77,141.39,6964907,6964907,1.11,0.77266,144.3325,"October 09, 23",0.0077266
314,2023-10-06,142.91,145.88,142.14,145.1,141.72,10270621,10270621,2.19,1.53,144.0075,"October 06, 23",0.0153
315,2023-10-05,142.04,143.1,140.83,142.9,139.57,8576237,8576237,0.86,0.60546,142.2175,"October 05, 23",0.0060546
316,2023-10-04,143.19,143.47,141.93,143.35,138.98,8128748,8128748,0.16,0.11174,142.985,"October 04, 23",0.0011174
317,2023-10-03,143.2,143.59,142.35,142.71,138.36,9431118,9431118,-0.49,-0.34218,142.9625,"October 03, 23",-0.0034218
318,2023-10-02,144.83,145.62,142.63,143.77,139.39,9170644,9170644,-1.06,-0.73189,144.2125,"October 02, 23",-0.0073189
319,2023-09-29,148.6,148.76,144.86,145.02,140.6,11917826,11917826,-3.58,-2.41,146.81,"September 29, 23",-0.0241
320,2023-09-28,146.28,148.87,146.01,147.59,143.09,8868100,8868100,1.31,0.89554,147.1875,"September 28, 23",0.0089554
321,2023-09-27,145.19,146.09,144.51,145.78,141.34,6717822,6717822,0.59,0.40636,145.3925,"September 27, 23",0.0040636
322,2023-09-26,144.6,145.84,144.23,144.93,140.51,7468405,7468405,0.33,0.22822,144.9,"September 26, 23",0.0022822
323,2023-09-25,145.35,146.52,143.7,146.45,141.99,7044700,7044700,1.1,0.75679,145.505,"September 25, 23",0.0075679
324,2023-09-22,147.29,147.51,145.19,145.73,141.29,7071975,7071975,-1.56,-1.06,146.43,"September 22, 23",-0.0106
325,2023-09-21,147.58,148.85,146.63,147.14,142.66,8053410,8053410,-0.44,-0.29814,147.55,"September 21, 23",-0.0029814
326,2023-09-20,149.65,150.25,148.14,148.3,143.78,7334257,7334257,-1.35,-0.9021,149.085,"September 20, 23",-0.009021
327,2023-09-19,149.5,149.72,147.21,148.93,144.39,7945606,7945606,-0.57,-0.38127,148.84,"September 19, 23",-0.0038127
328,2023-09-18,148.16,149.14,147.75,149.12,144.58,6512400,6512400,0.96,0.64795,148.5425,"September 18, 23",0.0064795
329,2023-09-15,148.92,149.73,148.31,148.81,144.27,19863383,19863383,-0.11,-0.07386516,148.9425,"September 15, 23",-0.0007386516
330,2023-09-14,147.84,149.9,147.52,149.25,144.7,10034931,10034931,1.41,0.95373,148.6275,"September 14, 23",0.0095373
331,2023-09-13,147.34,147.7,145.82,146.41,141.95,8325914,8325914,-0.93,-0.63119,146.8175,"September 13, 23",-0.0063119
332,2023-09-12,144.5,147.32,144.05,146.34,141.88,8363200,8363200,1.84,1.27,145.5525,"September 12, 23",0.0127
333,2023-09-11,144.75,145.05,143.69,144.46,140.06,6854220,6854220,-0.29,-0.20035,144.4875,"September 11, 23",-0.0020035
334,2023-09-08,143.37,144.12,142.65,143.83,139.45,7110254,7110254,0.46,0.32085,143.4925,"September 08, 23",0.0032085
335,2023-09-07,144.13,145.27,143.39,143.72,139.34,8373738,8373738,-0.41,-0.28447,144.1275,"September 07, 23",-0.0028447
336,2023-09-06,144.7,145.54,144.11,144.96,140.54,8629200,8629200,0.26,0.17968,144.8275,"September 06, 23",0.0017968
337,2023-09-05,147.16,148.21,145.01,145.2,140.77,7854739,7854739,-1.96,-1.33,146.395,"September 05, 23",-0.0133
338,2023-09-01,146.09,148.08,145.7,146.82,142.35,7903496,7903496,0.73,0.49969,146.6725,"September 01, 23",0.0049969
339,2023-08-31,148.26,148.35,145.96,146.33,141.87,10933938,10933938,-1.93,-1.3,147.225,"August 31, 23",-0.013
340,2023-08-30,148.62,149.15,147.19,148.16,143.64,6277318,6277318,-0.46,-0.30951,148.28,"August 30, 23",-0.0030951
341,2023-08-29,147.71,148.85,147.18,148.76,144.23,6337000,6337000,1.05,0.71085,148.125,"August 29, 23",0.0071085
342,2023-08-28,147.57,148.61,147.13,147.56,143.06,5094201,5094201,-0.01,-0.00677645,147.7175,"August 28, 23",-6.77645e-05
343,2023-08-25,147.28,148.62,145.85,147.05,142.57,6695537,6695537,-0.23,-0.15617,147.2,"August 25, 23",-0.0015617
344,2023-08-24,147.5,149.41,146.99,147.23,142.74,6534026,6534026,-0.27,-0.18305,147.7825,"August 24, 23",-0.0018305
345,2023-08-23,146.35,147.59,145.46,147.37,142.88,7858021,7858021,1.02,0.69696,146.6925,"August 23, 23",0.0069696
346,2023-08-22,149.26,149.64,145.85,146.38,141.92,9682000,9682000,-2.88,-1.93,147.7825,"August 22, 23",-0.0193
347,2023-08-21,149.65,150.1,148.02,149.48,144.92,8327018,8327018,-0.17,-0.1136,149.3125,"August 21, 23",-0.001136
348,2023-08-18,147.65,149.5,147.44,148.97,144.43,8517460,8517460,1.32,0.89401,148.39,"August 18, 23",0.0089401
349,2023-08-17,150.88,151.26,148.4,148.63,144.1,9953912,9953912,-2.25,-1.49,149.7925,"August 17, 23",-0.0149
350,2023-08-16,150.6,150.96,149.68,150.19,145.61,6978235,6978235,-0.41,-0.27224,150.3575,"August 16, 23",-0.0027224
351,2023-08-15,152.85,153.27,150.23,150.83,146.23,10300303,10300303,-2.02,-1.32,151.795,"August 15, 23",-0.0132
352,2023-08-14,153.61,154.92,152.92,154.77,150.05,5044300,5044300,1.16,0.75516,154.055,"August 14, 23",0.0075516
353,2023-08-11,153.03,154.52,152.63,154.45,149.74,5180690,5180690,1.42,0.92792,153.6575,"August 11, 23",0.0092792
354,2023-08-10,154.38,155.44,153.09,153.56,148.88,5995100,5995100,-0.82,-0.53116,154.1175,"August 10, 23",-0.0053116
355,2023-08-09,155.32,155.52,153.47,153.79,149.1,6277813,6277813,-1.53,-0.98506,154.525,"August 09, 23",-0.0098506
356,2023-08-08,154.32,155.98,152.59,155.88,151.13,8623400,8623400,1.56,1.01,154.6925,"August 08, 23",0.0101
357,2023-08-07,156.6,157.7,156.6,156.76,151.98,7251832,7251832,0.16,0.10217,156.915,"August 07, 23",0.0010217
358,2023-08-04,156.4,157.8,155.7,156.02,151.27,6209397,6209397,-0.38,-0.24297,156.48,"August 04, 23",-0.0024297
359,2023-08-03,155.0,156.92,154.35,156.35,151.59,6087542,6087542,1.35,0.87097,155.655,"August 03, 23",0.0087097
360,2023-08-02,155.56,155.69,153.94,155.4,150.66,8303708,8303708,-0.16,-0.10285,155.1475,"August 02, 23",-0.0010285
